title,link
"엔화, 종전협상 기대에 1달러=159엔대 전반 상승 출발",https://n.news.naver.com/mnews/article/003/0014148511?sid=104
엔화 약세에 日銀 긴축 빨라지나…9월 금리인상론 급부상,https://n.news.naver.com/mnews/article/018/0006358116?sid=101
엔화도 美국채도 가격 매력 커졌지만…일학개미 순매수는 글쎄,https://n.news.naver.com/mnews/article/001/0016269394?sid=101
투기 아닌 실수요가 엔저 주도…日정부 개입 효과 ‘한계’,https://n.news.naver.com/mnews/article/015/0005324740?sid=104
미국이 달러 아닌 유로로 엔화를 구한 날,https://n.news.naver.com/mnews/article/308/0000038674?sid=101
"원·달러 환율 3일째 1300원대, 엔화도 약세",https://n.news.naver.com/mnews/article/421/0009129662?sid=101
日 엔화 스테이블코인 ‘JPYC’로 韓 올리브영 상품권 산다,https://n.news.naver.com/mnews/article/016/0002688248?sid=101
엔화 약세 끝나나…'엔캐리 트레이드' 청산 리스크,https://n.news.naver.com/mnews/article/082/0001394917?sid=101
[매경이코노미스트] '엔화의 길' 따라가는 원화,https://n.news.naver.com/mnews/article/009/0005725075?sid=110
"원·달러 환율 3일째 1300원대, 엔화도 약세",https://n.news.naver.com/mnews/article/421/0009129664?sid=101
"엔화, 對이란 추가 경제제재에 1달러=159엔대 전반 상승 출발",https://n.news.naver.com/mnews/article/003/0014145935?sid=104
엔화 약세 지속,https://n.news.naver.com/mnews/article/421/0009129696?sid=101
"엔화값 추락…日, 연내 두 차례 금리 올리나",https://n.news.naver.com/mnews/article/015/0005324086?sid=104
엔화 스테이블코인으로 한국서 올리브영 쇼핑…JPYC 결제까지 5초 “생...,https://n.news.naver.com/mnews/article/016/0002688247?sid=101
"엔화, 美 장기금리 하락에 1달러=158엔대 전반 상승 출발",https://n.news.naver.com/mnews/article/003/0014137178?sid=104
"日, 2분기 외화예금 급증…엔화 약세에 28년만 증가폭 최대",https://n.news.naver.com/mnews/article/001/0016264457?sid=104
"日가계·기업, 엔화 하락에 역대급 베팅",https://n.news.naver.com/mnews/article/009/0005724129?sid=101
미·일 엔화 개입에...'엔 캐리 트레이드' 청산 우려,https://n.news.naver.com/mnews/article/052/0002396691?sid=101
엔화 싸다 하더니…지난달 日 찾은 한국인 90만명 육박,https://n.news.naver.com/mnews/article/003/0014136815?sid=104
미일 ‘엔화 구출 작전’…그 배경이 궁금하다,https://n.news.naver.com/mnews/article/024/0000107629?sid=102
