Date,Product,Units Sold,Revenue
2026-08-01,Widget B,3,75
2026-08-02,Widget C,5,150
2026-08-03,Widget C,7,210
2026-08-04,Widget B,4,100
2026-08-05,Widget B,2,50
2026-08-06,Widget B,13,325
2026-08-07,Widget C,3,90
2026-08-08,Widget C,9,270
2026-08-09,Widget A,1,25
2026-08-10,Widget C,12,360
2026-08-11,Widget C,8,240
2026-08-12,Widget A,2,50
2026-08-13,Widget A,6,150
2026-08-14,Widget A,2,50
2026-08-15,Widget C,3,90
2026-08-16,Widget B,6,150
2026-08-17,Widget A,10,250
2026-08-18,Widget B,14,350
2026-08-19,Widget B,12,300
2026-08-20,Widget B,7,175
2026-08-21,Widget B,4,100
2026-08-22,Widget C,9,270
2026-08-23,Widget B,6,150
2026-08-24,Widget B,3,75
2026-08-25,Widget A,8,200
2026-08-26,Widget B,1,25
2026-08-27,Widget B,12,300
2026-08-28,Widget A,5,125
2026-08-29,Widget C,5,150
2026-08-30,Widget A,2,50
2026-08-31,Widget C,3,90
2026-09-01,Widget C,14,420
2026-09-02,Widget B,9,225
2026-09-03,Widget A,4,100
2026-09-04,Widget A,11,275
2026-09-05,Widget C,4,120
2026-09-06,Widget A,7,175
2026-09-07,Widget C,8,240
2026-09-08,Widget C,15,450
2026-08-01,Widget C,2,60
2026-08-02,Widget C,9,270
2026-08-03,Widget C,11,330
2026-08-04,Widget C,4,120
2026-08-05,Widget B,10,250
2026-08-06,Widget C,2,60
2026-08-07,Widget B,5,125
2026-08-08,Widget A,6,150
2026-08-09,Widget B,1,25
2026-08-10,Widget A,4,100
2026-08-11,Widget C,6,180
2026-08-12,Widget B,2,50
2026-08-13,Widget A,15,375
2026-08-14,Widget A,3,75
2026-08-15,Widget B,10,250
2026-08-16,Widget C,5,150
2026-08-17,Widget B,4,100
2026-08-18,Widget C,12,360
2026-08-19,Widget C,4,120
2026-08-20,Widget A,8,200
2026-08-21,Widget C,3,90
2026-08-22,Widget A,10,250
2026-08-23,Widget A,2,50
2026-08-24,Widget A,14,350
2026-08-25,Widget B,15,375
2026-08-26,Widget A,10,250
2026-08-27,Widget C,2,60
2026-08-28,Widget B,12,300
2026-08-29,Widget A,2,50
2026-08-30,Widget C,15,450
2026-08-31,Widget B,2,50
2026-09-01,Widget B,1,25
2026-09-02,Widget C,9,270
2026-09-03,Widget B,8,200
2026-09-04,Widget B,14,350
2026-09-05,Widget A,11,275
2026-09-06,Widget A,6,150
2026-09-07,Widget B,2,50
2026-09-08,Widget A,4,100
2026-08-01,Widget A,4,100
2026-08-02,Widget B,15,375
2026-08-03,Widget A,9,225
2026-08-04,Widget A,10,250
2026-08-05,Widget C,5,150
2026-08-06,Widget A,4,100
2026-08-07,Widget B,9,225
2026-08-08,Widget C,3,90
2026-08-09,Widget C,2,60
2026-08-10,Widget B,12,300
2026-08-11,Widget B,6,150
2026-08-12,Widget B,7,175
2026-08-13,Widget B,9,225
2026-08-14,Widget A,2,50
2026-08-15,Widget A,5,125
2026-08-16,Widget A,12,300
2026-08-17,Widget B,1,25
2026-08-18,Widget A,3,75
2026-08-19,Widget C,7,210
2026-08-20,Widget B,2,50
2026-08-21,Widget C,5,150
2026-08-22,Widget A,2,50
